record_id,category,created,created_by,description,display_name,id,last_modified_by,last_modified_time,score,sort_order,source_metrics,sub-category
recYNj1n7VgouNSZU,fat_sources,2025-09-22T22:31:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Rendered bacon drippings,Bacon Fat,bacon_fat,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.1,9,rectMLBlRfTVKEUmJ,saturated_fats
recGtvJNVUvGxXWGJ,fat_sources,2025-09-22T22:31:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Hydrogenated vegetable oil,Shortening,shortening,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.1,10,rectMLBlRfTVKEUmJ,saturated_fats
recHVBJILCvk2DgpY,fat_sources,2025-09-22T22:31:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Cheddar, brie, gouda, swiss",Full-Fat Cheese,full_fat_cheese,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.3,11,rectMLBlRfTVKEUmJ,saturated_fats
rec5iEpBbHcaBuLY1,fat_sources,2025-09-22T22:31:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Full-fat dairy milk,Whole Milk,whole_milk,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.3,12,rectMLBlRfTVKEUmJ,saturated_fats
rec8EGdZquMdJhj0z,fat_sources,2025-09-22T22:31:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Extra virgin, virgin, or refined olive oil",Olive Oil,olive_oil,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,1,1,rectMLBlRfTVKEUmJ,monounsaturated_fats
recDlWgruBJUQt8uC,fat_sources,2025-09-22T22:31:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Whole avocado or avocado oil,Avocado,avocado,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,1,2,rectMLBlRfTVKEUmJ,monounsaturated_fats
recGraBvmOefyQkSZ,fat_sources,2025-09-22T22:31:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Neutral cooking oil,Canola Oil,canola_oil,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.6,3,rectMLBlRfTVKEUmJ,monounsaturated_fats
rec7ckgbgvLJczLhr,fat_sources,2025-09-22T22:31:52.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Almonds, cashews, pecans, macadamias, pistachios",Nuts (Mono),nuts_mono,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,1,4,rectMLBlRfTVKEUmJ,monounsaturated_fats
recGKlH8wbwu5PF0D,fat_sources,2025-09-22T22:31:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Almond butter, peanut butter, cashew butter",Nut Butters,nut_butters,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.8,5,rectMLBlRfTVKEUmJ,monounsaturated_fats
recflP5bWMQadqEuO,fat_sources,2025-09-22T22:31:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Tree nuts highest in omega-3,Walnuts,walnuts,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,1,1,rectMLBlRfTVKEUmJ,polyunsaturated_fats
recMUrA2znOV8zWI9,fat_sources,2025-09-22T22:31:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Chia, flax, hemp, pumpkin, sunflower seeds",Seeds,seeds,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,1,2,rectMLBlRfTVKEUmJ,polyunsaturated_fats
recavwghO1hTBpVWS,fat_sources,2025-09-22T22:31:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Salmon, mackerel, sardines, anchovies, herring",Fatty Fish,fatty_fish,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,1,3,rectMLBlRfTVKEUmJ,polyunsaturated_fats
recTzqYxGxJj2PIaS,fat_sources,2025-09-22T23:01:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Sunflower, safflower, sesame, walnut, flaxseed oils",Vegetable Oils (Poly),vegetable_oils_poly,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.7,4,rectMLBlRfTVKEUmJ,polyunsaturated_fats
recSBofA4YAlFBIu1,fat_sources,2025-09-22T23:01:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Ground sesame seed paste,Tahini,tahini,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.8,5,rectMLBlRfTVKEUmJ,polyunsaturated_fats
recdyYK3RuiX8vhFc,social_events,2025-09-25T13:09:11.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Brief chat with family, friend or neighbor at least once daily",Brief Daily Chat,brief_daily_chat,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:14:42.000Z,0.6,1,recVK8n9lTWwUEXFW,minimal_connection
recwLMDF6qaGhZEpb,social_events,2025-09-25T13:09:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Participate in group activities or gatherings at least once per week,Weekly Group Activity,weekly_group_activity,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:19.000Z,0.5,2,recVK8n9lTWwUEXFW,minimal_connection
recByIPpuEQudbQ3e,social_events,2025-09-25T13:09:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Video calls, online groups, or digital social platforms for connection",Virtual Connections,virtual_connections,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:19.000Z,0.4,3,recVK8n9lTWwUEXFW,minimal_connection
recsXFJkAXxUaafRR,social_events,2025-09-25T13:09:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","2+ brief social connections daily totaling 15+ minutes, including group connection",Multiple Brief Connections,multiple_brief_connections,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:20.000Z,0.8,4,recVK8n9lTWwUEXFW,moderate_connection
recCoNABwuVwpTa1A,social_events,2025-09-25T13:09:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Regular interaction with people from different age groups,Intergenerational Contact,intergenerational_contact,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:20.000Z,0.7,5,recVK8n9lTWwUEXFW,moderate_connection
recIMJrg9zXphCBth,social_events,2025-09-25T13:09:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Connect with family members 3+ times per week via call, text, or in-person",Regular Family Contact,regular_family_contact,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:21.000Z,0.7,6,recVK8n9lTWwUEXFW,moderate_connection
recyQMzU0r5wohPMx,social_events,2025-09-25T13:09:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Regular social time with friends or peers of similar age/interests,Peer Group Engagement,peer_group_engagement,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:22.000Z,0.8,7,recVK8n9lTWwUEXFW,moderate_connection
recinwLMzDg4sW1dv,social_events,2025-09-25T13:09:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Active participation in community groups, volunteering, or neighborhood activities",Community Involvement,community_involvement,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:35.000Z,0.9,8,recVK8n9lTWwUEXFW,robust_connection
recsiMh8R9TMD85OV,social_events,2025-09-25T13:09:15.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Eating meals with others regularly, promoting deeper social bonds",Shared Meal Connections,shared_meal_connections,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:36.000Z,0.9,9,recVK8n9lTWwUEXFW,robust_connection
recBO5XpCOHyVAFuK,social_events,2025-09-25T13:09:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Multiple daily social engagements totaling 30+ minutes, including group and generational connections",Extended Daily Engagement,extended_daily_engagement,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-25T13:16:34.000Z,1,10,recVK8n9lTWwUEXFW,robust_connection
